sexo,edad,nacionalidad,ccaa,tipo_hogar,regimen_vivienda,nivel_educativo,unidades_consumo,renta_hogar,ingresos_anuales,riesgo_pobreza,situacion_economica_infancia,pesos
Hombre,70,Espana,ES21,2 adultos sin niños,En propiedad,300,1.5,31626.7,0,0,NA,906.1583
Mujer,68,Espana,ES21,2 adultos sin niños,En propiedad,300,1.5,31626.7,0,0,NA,906.1583
Mujer,72,Espana,ES21,2 adultos sin niños,En propiedad,200,1.5,42250,0,0,NA,1227.68869
Hombre,60,Espana,ES21,2 adultos sin niños,En propiedad,300,1.5,42250,41600,0,NA,1227.68869
Mujer,54,Espana,ES21,Biparental con niños/as,En propiedad,500,2,7043,0,1,Moderadamente buena,2559.35987
Mujer,26,Espana,ES21,Biparental con niños/as,En propiedad,500,2,7043,4680,1,Moderadamente mala,2559.35987
Mujer,23,Espana,ES21,Biparental con niños/as,En propiedad,344,2,7043,2340,1,NA,2559.35987
Mujer,61,Espana,ES21,Monomarental con niños/as,En alquiler,500,1.5,12302.9,0,1,NA,2003.96136
Hombre,22,Extranjero (resto mundo),ES21,Monomarental con niños/as,En alquiler,344,1.5,12302.9,4680,1,NA,2003.96136
Mujer,78,Espana,ES21,2 adultos sin niños,En propiedad,100,1.5,43888.9,0,0,NA,1329.50034
Mujer,48,Espana,ES21,2 adultos sin niños,En propiedad,500,1.5,43888.9,26442,0,Moderadamente mala,1329.50034
Hombre,50,Espana,ES21,Biparental con niños/as,En propiedad,300,1.8,47094.5,0,0,Moderadamente buena,2284.77004
Mujer,52,Espana,ES21,Biparental con niños/as,En propiedad,500,1.8,47094.5,0,0,Mala,2284.77004
Mujer,14,NA,ES21,Biparental con niños/as,En propiedad,NA,1.8,47094.5,NA,0,NA,2284.77004
Hombre,72,Espana,ES21,Otros hogares,En propiedad,200,2,38749.95,0,0,NA,1099.21339
Mujer,74,Espana,ES21,Otros hogares,En propiedad,000,2,38749.95,0,0,NA,1099.21339
Hombre,50,Espana,ES21,Otros hogares,En propiedad,500,2,38749.95,6352.54,0,Moderadamente mala,1099.21339
Hombre,36,Extranjero (resto mundo),ES22,Biparental con niños/as,En propiedad,500,1.8,26811.23,17924.52,0,Buena,1816.44005
Mujer,30,Espana,ES22,Biparental con niños/as,En propiedad,500,1.8,26811.23,1465.5,0,Buena,1816.44005
Mujer,0,NA,ES22,Biparental con niños/as,En propiedad,NA,1.8,26811.23,NA,0,NA,1816.44005
Mujer,37,Espana,ES21,Unipersonal,En propiedad,500,1,18600,10400,0,Buena,2527.69365
Hombre,48,Espana,ES21,Biparental con niños/as,En propiedad,200,2.1,52040,39000,0,Moderadamente mala,1115.37929
Mujer,46,Espana,ES21,Biparental con niños/as,En propiedad,300,2.1,52040,12740,0,Moderadamente buena,1115.37929
Hombre,11,NA,ES21,Biparental con niños/as,En propiedad,NA,2.1,52040,NA,0,NA,1115.37929
Mujer,7,NA,ES21,Biparental con niños/as,En propiedad,NA,2.1,52040,NA,0,NA,1115.37929
Mujer,40,Espana,ES21,2 adultos sin niños,En propiedad,300,1.5,44982.8,20800,0,Moderadamente mala,2060.3895
Hombre,39,Espana,ES21,2 adultos sin niños,En propiedad,300,1.5,44982.8,20800,0,Moderadamente mala,2060.3895
Hombre,43,Espana,ES21,2 adultos sin niños,En propiedad,500,1.5,46883.5,22100,0,Buena,1214.02931
Mujer,48,Espana,ES21,2 adultos sin niños,En propiedad,500,1.5,46883.5,19831.5,0,Moderadamente mala,1214.02931
