DB010,DB020,DB030,DB040,DB040_F,DB060,DB060_F,DB090,DB090_F,DB100,DB100_F
2019,ES,1,ES21,1,2,2,906.15830,1,3,1
2019,ES,2,ES21,1,2,2,1227.68869,1,3,1
2019,ES,3,ES21,1,2,2,2559.35987,1,3,1
2019,ES,4,ES21,1,3,2,2003.96136,1,2,1
2019,ES,6,ES21,1,3,2,1329.50034,1,2,1
2019,ES,7,ES21,1,3,2,2284.77004,1,2,1
2019,ES,8,ES21,1,3,2,1099.21339,1,2,1
2019,ES,10,ES22,1,3,2,1816.44005,1,2,1
2019,ES,11,ES21,1,10,2,2527.69365,1,1,1
2019,ES,12,ES21,1,10,2,1115.37929,1,1,1
2019,ES,13,ES21,1,10,2,2060.38950,1,1,1
2019,ES,14,ES21,1,10,2,1214.02931,1,1,1
2019,ES,16,ES21,1,10,2,1116.38429,1,1,1
2019,ES,17,ES21,1,10,2,567.10847,1,1,1
2019,ES,18,ES21,1,10,2,1498.99704,1,1,1
2019,ES,19,ES21,1,10,2,4938.08579,1,1,1
2019,ES,20,ES21,1,11,2,791.21609,1,1,1
2019,ES,21,ES21,1,11,2,1480.72834,1,1,1
2019,ES,22,ES21,1,11,2,760.10062,1,1,1
2019,ES,23,ES21,1,11,2,466.21250,1,1,1
2019,ES,24,ES21,1,11,2,1178.29826,1,1,1
2019,ES,25,ES21,1,12,2,836.61334,1,1,1
2019,ES,26,ES21,1,12,2,365.82306,1,1,1
2019,ES,28,ES21,1,12,2,1977.87463,1,1,1
2019,ES,29,ES21,1,12,2,707.28459,1,1,1
2019,ES,30,ES21,1,16,2,616.73529,1,1,1
2019,ES,31,ES21,1,16,2,1613.02554,1,1,1
2019,ES,32,ES21,1,16,2,1528.62961,1,1,1
2019,ES,33,ES21,1,16,2,816.82405,1,1,1
2019,ES,34,ES21,1,16,2,841.47120,1,1,1
2019,ES,36,ES21,1,16,2,1380.51713,1,1,1
2019,ES,37,ES21,1,16,2,1873.57195,1,1,1
2019,ES,38,ES21,1,16,2,1112.72169,1,1,1
2019,ES,40,ES42,1,17,2,2764.89417,1,1,1
2019,ES,41,ES42,1,17,2,693.48798,1,1,1
2019,ES,42,ES42,1,17,2,530.09337,1,1,1
2019,ES,43,ES42,1,17,2,498.53113,1,1,1
2019,ES,44,ES42,1,17,2,1113.76060,1,1,1
2019,ES,46,ES42,1,17,2,1546.29689,1,1,1
2019,ES,47,ES42,1,19,2,972.93938,1,1,1
2019,ES,48,ES42,1,19,2,1836.01881,1,1,1
2019,ES,49,ES42,1,19,2,1468.08701,1,1,1
2019,ES,52,ES42,1,22,2,1375.98399,1,1,1
2019,ES,53,ES42,1,22,2,4344.41383,1,1,1
2019,ES,54,ES42,1,22,2,923.51770,1,1,1
2019,ES,55,ES42,1,24,2,2070.39203,1,1,1
2019,ES,56,ES42,1,24,2,1997.79485,1,1,1
2019,ES,57,ES42,1,24,2,1752.13177,1,1,1
2019,ES,58,ES42,1,24,2,2186.10688,1,1,1
2019,ES,60,ES42,1,24,2,693.48798,1,1,1
2019,ES,63,ES42,1,28,2,1253.18332,1,3,1
2019,ES,64,ES42,1,28,2,1620.26300,1,3,1
2019,ES,65,ES42,1,32,2,2273.69662,1,3,1
2019,ES,66,ES42,1,32,2,1218.07648,1,3,1
2019,ES,68,ES42,1,32,2,1511.33672,1,3,1
2019,ES,69,ES42,1,32,2,1761.70417,1,3,1
2019,ES,71,ES42,1,32,2,1909.12704,1,3,1
2019,ES,72,ES42,1,32,2,2369.47680,1,3,1
2019,ES,73,ES42,1,32,2,1517.19964,1,3,1
2019,ES,74,ES52,1,38,2,601.90417,1,3,1
2019,ES,76,ES52,1,38,2,2807.61278,1,3,1
2019,ES,77,ES52,1,38,2,2527.59237,1,3,1
2019,ES,78,ES52,1,38,2,2785.89811,1,3,1
2019,ES,79,ES52,1,42,2,3397.13429,1,1,1
2019,ES,80,ES52,1,42,2,1135.45949,1,1,1
2019,ES,81,ES52,1,42,2,1362.37605,1,2,1
2019,ES,82,ES52,1,42,2,2451.23779,1,1,1
2019,ES,83,ES52,1,42,2,4666.07241,1,1,1
2019,ES,85,ES52,1,43,2,2476.86673,1,1,1
2019,ES,86,ES52,1,43,2,3882.78921,1,1,1
2019,ES,87,ES52,1,43,2,7867.16397,1,1,1
2019,ES,88,ES52,1,43,2,3045.67171,1,1,1
2019,ES,89,ES52,1,43,2,1526.51698,1,1,1
2019,ES,90,ES52,1,47,2,4180.58652,1,1,1
2019,ES,91,ES52,1,47,2,1872.85427,1,1,1
2019,ES,92,ES52,1,47,2,2343.27154,1,1,1
2019,ES,93,ES52,1,47,2,2694.21215,1,1,1
2019,ES,96,ES52,1,58,2,2530.29243,1,2,1
2019,ES,97,ES52,1,58,2,1005.24960,1,2,1
2019,ES,98,ES52,1,58,2,1458.17485,1,2,1
2019,ES,99,ES52,1,58,2,2050.53575,1,2,1
2019,ES,100,ES52,1,58,2,2437.43791,1,2,1
2019,ES,102,ES52,1,58,2,2552.17873,1,2,1
2019,ES,103,ES52,1,58,2,3082.37730,1,2,1
2019,ES,105,ES52,1,68,2,1346.21038,1,1,1
2019,ES,106,ES52,1,68,2,2883.89715,1,1,1
2019,ES,107,ES52,1,68,2,2702.32561,1,1,1
2019,ES,109,ES52,1,68,2,3964.00738,1,1,1
2019,ES,110,ES52,1,70,2,4237.56548,1,1,1
2019,ES,111,ES52,1,70,2,6374.47683,1,1,1
2019,ES,112,ES52,1,70,2,3103.04468,1,1,1
2019,ES,113,ES52,1,70,2,4035.10643,1,1,1
2019,ES,114,ES52,1,70,2,3486.76387,1,1,1
2019,ES,115,ES52,1,70,2,3657.66226,1,1,1
2019,ES,116,ES52,1,74,2,3093.61920,1,1,1
2019,ES,117,ES52,1,74,2,5860.04368,1,1,1
2019,ES,118,ES52,1,74,2,4582.43460,1,1,1
2019,ES,119,ES52,1,74,2,3020.79438,1,1,1
2019,ES,120,ES52,1,74,2,5029.85863,1,1,1
2019,ES,121,ES52,1,74,2,6082.56879,1,1,1
2019,ES,122,ES52,1,74,2,2076.99863,1,1,1
2019,ES,123,ES52,1,74,2,6370.13487,1,1,1
2019,ES,124,ES52,1,80,2,3390.50056,1,2,1
2019,ES,125,ES52,1,80,2,5003.26932,1,2,1
2019,ES,126,ES52,1,82,2,3425.81121,1,3,1
2019,ES,127,ES52,1,82,2,16558.14582,1,3,1
2019,ES,128,ES52,1,82,2,8079.51850,1,3,1
2019,ES,129,ES52,1,82,2,9199.66915,1,3,1
2019,ES,130,ES52,1,82,2,6379.39673,1,3,1
2019,ES,131,ES52,1,84,2,1269.76101,1,3,1
2019,ES,132,ES52,1,84,2,961.18580,1,3,1
2019,ES,133,ES52,1,84,2,1581.26251,1,3,1
2019,ES,134,ES52,1,84,2,1247.68110,1,3,1
2019,ES,135,ES52,1,84,2,737.79463,1,3,1
2019,ES,136,ES52,1,84,2,1196.63902,1,3,1
2019,ES,137,ES52,1,84,2,994.38505,1,3,1
2019,ES,138,ES52,1,86,2,2391.41405,1,3,1
2019,ES,140,ES52,1,88,2,1794.91613,1,2,1
2019,ES,141,ES52,1,88,2,1940.46053,1,2,1
2019,ES,142,ES52,1,88,2,2834.13774,1,2,1
2019,ES,143,ES52,1,88,2,5236.46995,1,2,1
2019,ES,144,ES52,1,88,2,2289.59637,1,2,1
2019,ES,145,ES52,1,90,2,1891.68203,1,2,1
2019,ES,147,ES52,1,94,2,5895.17591,1,3,1
2019,ES,149,ES52,1,94,2,2371.48295,1,3,1
