RB080,RB090,PE040,PT190
1,70,300,NA
2,68,300,NA
2,72,200,NA
1,60,300,NA
2,54,500,4
2,26,500,3
2,23,344,NA
2,61,500,NA
1,22,344,NA
2,78,100,NA
2,48,500,3
1,50,300,4
2,52,500,2
2,14,NA,NA
1,72,200,NA
2,74,000,NA
1,50,500,3
1,36,500,5
2,30,500,5
2,0,NA,NA
2,37,500,5
1,48,200,3
2,46,300,4
1,11,NA,NA
2,7,NA,NA
2,40,300,3
1,39,300,3
1,43,500,5
2,48,500,3
1,40,500,5
2,41,200,4
1,42,000,2
1,8,NA,NA
1,4,NA,NA
1,35,200,2
2,33,500,5
1,6,NA,NA
2,4,NA,NA
2,4,NA,NA
2,41,500,3
2,66,100,NA
1,71,000,NA
1,57,500,4
2,60,200,NA
2,26,500,4
1,71,500,NA
2,72,100,NA
1,53,200,1
1,18,200,NA
2,48,500,4
1,15,NA,NA
1,70,100,NA
2,66,300,NA
1,68,500,NA
2,30,354,5
2,86,100,NA
2,67,300,NA
2,86,200,NA
1,53,300,4
2,70,500,NA
1,35,344,5
2,65,500,NA
1,46,500,6
2,46,500,4
1,10,NA,NA
1,8,NA,NA
2,43,500,5
2,11,NA,NA
1,56,500,5
2,51,300,4
1,30,344,4
2,37,500,4
1,37,500,4
1,4,NA,NA
1,41,500,5
2,39,500,3
2,8,NA,NA
2,5,NA,NA
1,47,500,4
2,37,500,4
1,62,100,NA
2,36,200,4
1,13,NA,NA
2,11,NA,NA
2,5,NA,NA
1,3,NA,NA
1,66,100,NA
1,38,500,5
2,74,500,NA
2,65,500,NA
1,64,500,NA
2,31,500,2
2,31,344,2
1,66,300,NA
1,84,500,NA
2,81,500,NA
1,58,500,3
2,51,500,5
2,25,500,NA
2,21,344,NA
2,17,200,NA
1,82,200,NA
2,50,500,4
1,53,300,4
1,23,500,NA
1,21,344,NA
2,57,100,4
1,65,100,NA
1,49,500,4
2,50,500,4
2,18,344,NA
1,45,100,3
2,41,300,3
1,80,300,NA
2,75,300,NA
1,30,200,4
1,73,100,NA
2,60,200,NA
2,48,200,3
1,48,500,4
1,20,200,NA
1,16,NA,NA
2,10,NA,NA
1,50,500,4
2,44,300,4
2,68,100,NA
2,75,100,NA
1,79,000,NA
1,57,200,2
2,55,200,2
1,49,200,4
2,47,200,4
1,20,344,NA
1,15,NA,NA
1,53,200,4
1,80,000,NA
2,82,000,NA
1,39,500,5
2,39,500,5
2,7,NA,NA
1,5,NA,NA
1,68,200,NA
2,60,200,NA
2,86,000,NA
2,71,200,NA
2,63,000,NA
1,35,500,4
1,51,500,4
2,51,500,3
2,19,344,NA
1,17,200,NA
1,58,200,4
2,55,200,4
2,56,200,4
1,59,200,4
1,58,200,5
2,51,100,5
1,86,000,NA
1,18,200,NA
1,15,NA,NA
2,86,000,NA
1,42,200,4
2,42,300,4
1,16,NA,NA
1,15,NA,NA
2,84,100,NA
1,86,100,NA
1,50,100,5
2,56,500,6
1,57,500,4
2,18,200,NA
1,21,344,NA
1,67,300,NA
2,55,500,5
1,16,NA,NA
1,28,344,4
1,63,300,NA
2,58,300,4
2,86,500,NA
2,71,300,NA
1,72,500,NA
1,66,200,NA
1,78,500,NA
2,69,300,NA
2,54,300,4
1,54,300,3
1,19,344,NA
2,69,200,NA
2,37,300,4
1,46,500,5
2,42,500,5
1,11,NA,NA
1,7,NA,NA
1,55,300,4
2,44,300,4
1,48,500,4
1,31,344,4
2,67,300,NA
1,46,200,4
2,44,300,4
1,19,353,NA
2,15,NA,NA
1,12,NA,NA
2,57,200,3
1,56,200,2
1,22,500,NA
1,85,000,NA
2,78,000,NA
1,77,300,NA
2,26,200,4
1,26,200,3
1,27,344,3
1,35,200,5
2,32,500,5
1,68,100,NA
2,65,100,NA
1,62,100,NA
2,53,100,3
1,76,200,NA
2,74,000,NA
2,62,200,NA
1,43,500,5
2,48,200,4
1,3,NA,NA
2,86,000,NA
1,55,300,NA
2,54,300,6
2,24,500,NA
1,53,200,4
2,53,200,4
1,71,100,NA
1,76,300,NA
1,50,200,5
2,61,300,NA
2,78,100,NA
1,82,500,NA
2,40,500,4
1,43,300,4
1,11,NA,NA
2,9,NA,NA
1,40,200,5
2,31,500,5
1,42,200,4
2,37,200,5
2,5,NA,NA
1,46,200,5
2,39,300,5
1,9,NA,NA
2,3,NA,NA
1,76,000,NA
2,75,200,NA
2,52,500,2
2,42,500,2
2,12,NA,NA
1,52,200,3
2,50,200,5
2,21,500,NA
1,14,NA,NA
1,50,200,4
2,48,200,6
2,76,100,NA
1,55,200,4
1,34,100,5
2,38,200,5
1,6,NA,NA
2,1,NA,NA
2,1,NA,NA
1,85,300,NA
2,80,100,NA
2,37,500,4
1,30,500,5
1,56,100,3
2,55,100,4
2,25,200,NA
1,85,000,NA
2,78,000,NA
1,61,200,NA
2,58,300,5
1,43,300,2
2,43,300,1
2,19,200,NA
1,10,NA,NA
2,40,500,3
1,35,344,3
1,49,200,5
2,48,500,4
2,19,344,NA
1,16,NA,NA
1,59,100,4
2,55,500,4
2,20,354,NA
2,26,200,5
1,36,100,3
2,35,100,3
2,17,100,NA
1,14,NA,NA
1,43,500,5
2,42,500,3
2,9,NA,NA
1,5,NA,NA
2,57,300,4
1,59,200,4
1,23,344,NA
2,41,300,4
2,7,NA,NA
1,84,100,NA
1,76,500,NA
2,57,500,4
1,55,500,5
1,14,NA,NA
2,48,500,3
2,17,200,NA
2,12,NA,NA
1,60,200,NA
2,58,300,5
1,75,200,NA
2,74,200,NA
2,43,300,5
1,84,200,NA
1,21,200,NA
1,43,200,5
2,41,300,5
1,59,200,4
2,44,300,4
1,13,NA,NA
1,32,100,3
2,32,100,4
2,12,NA,NA
2,10,NA,NA
1,4,NA,NA
2,59,000,3
1,63,100,NA
2,57,100,2
1,38,100,1
2,35,100,2
1,14,NA,NA
1,63,100,NA
2,55,100,2
1,36,200,3
2,27,200,2
2,21,200,NA
1,33,200,2
1,2,NA,NA
1,2,NA,NA
1,3,NA,NA
1,0,NA,NA
2,54,000,2
1,51,300,3
1,25,344,NA
1,20,344,NA
2,16,NA,NA
1,14,NA,NA
2,36,300,4
1,40,300,3
1,38,100,2
2,34,200,NA
2,10,NA,NA
1,7,NA,NA
1,5,NA,NA
1,29,000,2
1,45,200,4
1,22,500,NA
1,19,200,NA
